question1,question2
What to do when you don't want to do?,What do you do when you don't want to do anything?
What is verfify identity in Google account?,How should I handle my break-up dilemma?
What are your paranormal experiences?,What are some paranormal experiences you had?
What's your secret to success?,What is the secret to success?
What is open market operation?,What do you mean by open market operation?
Do atheists who celebrate Christmas call it something different?,Do atheists call Christmas something different?
Can extend my J1 visa with an Optional Practice Training?,"Is a Master's in Systems, Control and Robotics at KTH Stockholm, a good choice if one has a BSc in Mechanical Engineering?"
Which is best mobile under 15000?,Which is the best phone below 15000?
What is living in Wyoming like?,What's the capital of Wyoming?
What are best practices for deeply nested components with React and Redux?,Where I will get the full fledged example of React-Redux?
How can anyone increase height?,Which exercise type help you to increase your height?
How do you describe a poor and a rich person?,How can you tell a rich person from a greedy rich person?
Do schools kill creativity?,Does education kills creativity?
What are good methods to study engineering?,What is the best method of studying?
Are humans truly from another planet?,Could the human race have originated from another planet?
"Now that Donald Trump is President, will international students stop coming to US universities?","Should I (a prospective Indian student) stop applying to universities in the USA, now that Donald Trump has become the president?"
Why is diversity good?,Why is diversity a good thing?
What is backend process?,What is a backend?
What supplements can help me build muscle and burn fat?,What is a good way to burn fat while building muscle?
Is the lift on ban of Jallikattu (Tamil Nadu's bull taming sport) justified?,What's so special about tamil nadu alanganallur jallikattu?
Neurotypical perceptions of a English rapper with Autism considering their difficulties?,What percent of people with autism are severely disabled?
What are the meal plans for the Dr.Moreno's 17 day diet?,What diet should we follow if we go to the gym?
How do I improve my aptitude and thinking skills?,How do I improve my thinking?
What is the best workflow for using Adobe Fireworks for iPhone Retina UI Design?,Who is the best UI/UX design studio?
"Is the use of the phrase 'pass out' to mean 'graduate' correct? If correct, is it common?","Which phrase ""You and me"" or ""You and I"" is used more commonly and which one is correct without using a full sentence?"
I'm 18. How can I make money online?,What is the easiest way to earn money from online?
"Form where videos of sites like trainsignal, cbt nuggets etc can be downloaded (excluding torrent) for free?",What is the best time to invest in real estate market after demonetisation?
How do I get meth out of my system from smoking it instantly?,So how can I get meth to be flush out of body in 2 hours before a urine drug test?
What is the saddest thing you have ever seen on the internet?,What is the saddest thing you've ever seen?
I know C and Java. Is C++ worth learning?,How do I learn C++ if I only know Java?
What are some mind-blowing technology tools that most people don't know about?,What are some mind blowing technology gadgets that most people don't know?
How can I find a job in web development?,What's the best way to find a job as a web developer?
How should I prepare for the KVPY SA interview?,How do I prepare for KVPY sa interview?
How do I overcome social anxiety in public places?,How do I overcome Social Anxiety?Please help.
How can I know if my boyfriend is using dating apps?,How can I find out whether my partner is using dating sites?
How do I gain weight in naturally way?,What should I do to gain some weight?
What you guys think about ecommerce ecosystem of kerala?,How much vitamin A in IU or retinol does horse liver contain?
Would strobe lights in a strange pattern in a dark hallway work at preventing and disorientating a school shooter?,would strobe lights in a dark hallway of a school be effective against a school shooter?  
"What is the Logic behind RAC (Reservation Against Cancellation) Seats in Indian Railways, when there already is a system of waitlisted tickets?",How much time does it take a ticket to transition from RAC (reservation against cancellation) status to confirmed status?
"I have an intracluster correlation matrix, symmetric matrix capturing correlation between clusters (based on k means). What is a nice way to represent these clusters graphically using this matrix and the post intra-cluster correlation of each variable?","How can we choose a ""good"" K for K-means clustering?"
Why is POP called plaster of PARIS?,Why is plaster of Paris called plaster of Paris?
Are there any universities that teach film production to people who have no filmmaking experience?,Are there any programs in the valley that teach teenagers programming for teenagers who don't want to go to university?
"What would happen if you dropped a marble size object, that happens to be heated to 1,000,000 Celsius, into the middle of the ocean?",Why do some people view death as fear provoking while others do not?
What are some of the best examples of sarcasm?,Which is the best example of Sarcasm?
Why is liberal arts education considered to be bad?,Why is liberal arts education bad?
How much does Hanes charge for shipping?,Where in the US are Hanes shirts sold?
What it takes to be a successful entrepreneur?,Can anyone be an entrepreneur? What does it take?
"What would you do if you accidentally landed on a site with child pornography? Would you contact the Police? If yes, Why would you do it?","Do you think Egyptian government still hides information on their Pyramids? If yes, why and what would be the outcome if they didn't?"
What are key exceptions to doctor-patient confidentiality?,Are doctors ever hesitant to heal a patient?
Which book should i use for JEE  organic chemistry?,Which book should I use for JEE organic chemistry?
"What hotel in Pelling Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Lachung Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?"
What is the best company for trading?,What is the best company for trading in malaysia?
What is formal theory?,What is formalism?
How do you get a new Straight Talk phone number?,How do you change a phone number through Straight Talk?
Why did Germany use inverted engines for most of their air craft during the Second World War?,What civil planes were used during World War II?
"Which is the best sitcom: the Big Bang Theory, HIMYM or Friends?",Which other sitcoms you should watch if you loved The Big Bang Theory and F.R.I.E.N.D.S.?
What are the greatest quotes from the Mahabharata and Gita?,What can we learn from the Mahabharata?
What makes life difficult?,How and why did you make your life difficult?
How has the profession of nursing changed in the past century?,I am 13 and can't meet my bathroom needs. It gets very noticeable and I must wear diapers and go to the nurse to get changed daily. How can I stop?
What is the use of nested loops?,How do nested loops work?
What has Scott Forstall contributed to Apple?,What is Scott Forstall like in person?
How can we earn money online without investment?,What is the easiest way to earn money from online?
Is there any loopholes in Drishyam movie?,"How would you have caught Ajay Devgan if you were police in the movie, Drishyam (2015)?"
What is the salary of highest paid government job in India?,Who is the highest paid teacher in India? Why?
What is the best place to meet hot women in San Francisco?,Where  is the best place in San Francisco to meet other 30-55 year old women?
What kind of a job can a mechatronics engineer expect after graduation?,What kind of a job does a person get after it engineering?
Why doesn't IndiGo airlines have a loyalty/frequent flyer program like other airlines?,Why does the Indigo Airlines flight crew mention the city of residence of its crew members? I havent heard any other airline doing so.
What happens if a person overdoses on melatonin?,What happens to a person who overdoses on vitamin B?
What is the difference between angle of incidence and angle of reflection?,What is the difference between angle of incidence and critical angle?
What is the life history of Sundar Pichai?,Why is Sundar Pichai not married?
What is the best GPS and Glonass satellite system?,"Which is the most accurate satellite navigation system: GPS, GLONASS, Galileo, BeiDou, qzss, irnss NAVIC, ?"
Can you earn money from an affiliate adult content website?,How do bloggers earn money?
How can I watch uncensored footage from nature documentaries?,What are the best World War II documentaries?
Is it healthy to eat one chicken every day?,Is it healthy to eat bread every day?
In what ways are difference quotients and slopes related?,Why do entrepreneurs need to be resilient?
What does a user see when he/she gets a new message on Instagram?,Can users see when they get messages in their Instagram?
What happens if a jealous acquaintance reports an inappropriate social media post to a recruiter you applied with?,"If youre planning a vacation and will be out of touch and not able to get online for a week, what tools would you use to ensure social media updates are being posted?"
How does having sex feel for the first time?,What did it feel like when you first had sex?
Does DNA change during the life?,Does DNA change when growing up from baby to adult?
What were the best movies of 2014? Why?,What are some of the best movies of 2014?
What is the weirdest dream you've had?,What is your weirdest dream you remember?
Who was the most powerful king in the history of India?,Who was the most powerful king in the history of India? Why?
How is blade commerce controlled in Vermont compared to Connecticut under the knife legislation?,How is blade commerce controlled in Vermont compared to Nebraska under the knife legislation?
How prevalent was sexual harassment in 1960's & 1970's offices?,Has America gone back to the 1960's and 70's politically?
What are some good experiment with family?,What are the best experiences?
Are there any RSS readers that pull comments?,Are there any RSS readers for OS X that pull comments?
Is it weird for me to consider the wearing of a hijab by women to be sexually attractive and sexually arousing?,"Do Muslim women have to wear a jilbab? Is it possible to wear wide pants, and a long-sleeved thick shirt with a hijab?"
How can I deal with depression and low self-esteem?,What should I do to get rid of my anxiety and my low self-esteem?
How is the procentual difference between 4% and 3%?,What is the procentual difference between 4% and 3%? What is the formula to calculate?
How do I change the font style on the HTC Desire 816g?,How can I change the font style in htc desire 816g?
What is the difference between analytical analysis and simulation?,What is the difference between global maximum and minimum temperature for simulation and analysis purpose in ANSYS?
Is it bad if I tell my boss I don't want to get paid?,What would happen if I was working and said to my boss I don't want to get paid?
Where should I stay in Munnar?,What are the best places to stay in munnar?
What do you make of this Game of Thrones theory?,How can I order goods from U.S.A and where do I find them in bulksfor example something like Alibaba?
What is the legal age for sexual consent in India?,What is the age of consent in India?
What systems software can run domestic debit card without banks?,If a man is a single father in Russia would he be looked down on?
What online grocery/food delivery services accept EBT cards/food stamps?,Can you use EBT cards at Costco or Sam's Club?
How do I overcome my inferiority complex ?,How do I overcome my inferiority complex?
Which grand theft auto is your favourite?,What is the best Grand Theft Auto?
Will Pakistan destroy India?,How is Pakistan destroying India?
Do people find dimples attractive?,Why are dimples such a cherished trait?
Where is Bhutan?,What is Bhutan?
How YouTube pay?,When can Youtube pay?
How can I observe like Sherlock Holmes?,How can I think like Sherlock Holmes?
Future of Work: Will machines replace humans?,When will robots take people's jobs? Is it expected to happen overnight or will it take a while?
Does Putin like Hillary Clinton?,Why should one vote for Hillary Clinton in the 2016 presidential election?
Is sexstorian.com safe?,Is zerocensorship.com safe?
I forgot my password and the email address I used to create my Snapchat account. How can I log in or at least change my email address or password?,How do I delete an account on instagram if I can't remember the password or email?
What is the best time to book a Caribbean trip?,When is best time to book carribian trip?
What do you think of Supreme Court's decision of playing National Anthem in all cinemas?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?
Why did Harry Potter name his daughter after Luna Lovegood?,What happened to Luna Lovegood after Book 7?
Which is better AMD radeon r5 m335 4GB or Nvidia Geforce 940m 4GB graphic card for gaming?,Which is better AMD radeon r5 m335 4GB or Nvidia Geforce 940m 4GB graphic card for laptops?
What is the solution to this puzzle?,"If you choose an answer to this question at random, what is the chance you will be correct? (A) 25% (B) 50% (C) 60% (D) 25%"
What will be the effect in Stock market after the Indian Government's decision to demonitize 500 and 1000 rupee notes?,What will be the effect on share market after the banning of 500 and 1000 notes?
What do you think of PM's decision on the banning of 500 and 100 rupee notes?,What do you think of the decision by the Indian government to demonetize 500 and 1000 rupee notes?
How do I impress the boss's boss?,How do I impress my boss's boss?
What's the worst thing someone has done to you?,What is the worst thing that someone has done to you and how do you feel about it now?
My face has gained a lot of fat .How do I reduce it?,What is the best way to reduce face fat?
"If I apply in a company for the post of Business analyst or Data analyst, will I be asked for any SQL or VBA certification?",Is there a need of SQL and VBA certification for applying for business analyst post?
What are the legal separation laws in PA and how do they compare with the ones in Washington?,What are the legal separation laws in PA and how do they compare with the ones in Indiana?
What is local viable in java?,What are the advantages of adopting a child?
How do I fold both rear-seats & one of the front seats in Maruti Swift Diesel Vdi 2014 model?,What is best seat color for grey swift?
What books should read?,What books should one read?
What is Ali Garh Trusteeship bill?,Were Jawaharlal Nehru and Muhammad Ali Jinnah brothers?
Why are you not talking to me?,Why does he not talk to me?
I forgot my Tata Photon password. How can I get back?,I have a Tata Photon modem but I forgot its password. How can I it get back? Model: EC156 MEID to know me
What is the relative permeability of steel?,What is the relative permeability of silicon steel?
What are some must have softwares for students?,"What are some ""must-have"" software?"
Can a Lightsaber cut through Adamantium?,Can a lightsaber cut through Superman?
Which is correct: each of you is  or  each of you are?,"""I am sorry"" vs ""excuse me"": When should each be used?"
Who is the better candidate for being the President of the United States of America: Hillary Clinton or Donald Trump?,In what aspects is Hillary Clinton better than Trump?
Why did the Korean war happen?,Why did the Vietnam war happen?
How do you run away as an adult?,How can I run away from Algeria?
What do you think of the move by the govt to scrap 500 & 1000 rupee notes?,What are the possible implications of Demonetization of 500 and 1000 rupee notes?
What is wrong in this c++ code?,What is wrong in my C++ code ?
What should I do if I haven't had my periods for almost four months now?,What can cause a woman's period to be late?
How can Jammu & Kashmir issue be resolved?,What is the best political solution to the Kashmir conflict?
Where can I watch Sherlock Season 4 online?,How can is see Sherlock Holmes season 4 online?
What are the ways for enhancing practical knowledge and exposure for a CA student in the 2 months period after IPCC 1st group exam?,What are the stuffs to read to enhance the practical knowledge and exposure For a CA student?
"What are some sentence examples using ""jejune""?","What are some sentence examples using ""satirical""?"
What are sac fungi? What are some examples?,What are some fungi examples?
Where can I download a cracked version of photoshop?,Where can I download a cracked version of Mathematica?
What do you think of love?,What do you think of your first love?
"After a US President serves two four-year terms, can they run again after four to eight years being out of office?",How was FDR elected four times when the limit was two terms?
Where in Hyderabad can I find karate classes for adult women?,Are there any female karate instructors in Hyderabad?
Who is best lingerie online shopping store in India?,How can I find best online shopping stores in india?
What will you do if you made a regretful decision in life?,"What should one do when your Manager comes up and says ,""If you don't do an MBA, you will regret it for the rest of your life""?"
Is it me or is it harder to maintain friendships?,Why is it difficult to maintain friendships?
What are crop tops?,What is crop top?
Who killed more Iraqis: Saddam Hussein or George W. Bush?,Is George W. Bush more competent than Barack Obama? Why or why not?
What role did Ireland have in World War II?,What role did Brazil play in World War II?
Who owns this number 3152150252?,Who owns this number: 07904378172?
What was the exact method by which Hubble discovered the red-shift of distant galaxies?,How do we know the bright spots in the HST Hubble Deep Field are galaxies and not stars?
Which laptop is the most suitable with the following specs?,Which laptop is most suitable with the following specs?
Can an IAS officer run a restaurant with the help of his spouse?,Can a person who is an IAS officer run their own bussiness?
U.S. Presidential Elections: Would Trump beat Sanders if they were the nominees for President?,Could Trump beat Sanders in a general election?
Which is the most long-lasting yonex shuttlecock for state level players?,How can a beginner tennis player win against a state level player?
"Which phone is better, XOLO or Micromax?","Toptal takes Your business/career to the next level, want to give it a try?"
What do you think about the death penalty?,What is the death penalty?
What's it like to work at C1 Financial for your first job?,How can I create Jio id for jiofi device?
How do delete Quora quesitons?,How do you delete a question on Quora?
"Is the reaction in the Universe which causes dark energy the outflow of a Universal black hole, causing the galxy clusters to accelerate away from us?","What is a good book which contains a huge knowledge about the universe, space, black holes, galaxies, etc. Any suggestions?"
What do people think about Muslims?,What do people all over the world think about Muslim?
Why do young women sext older men?,Why do some women marry men a lot older?
Where can I rent a PS4 in Bangalore?,Where can I rent PS4 games in Bangalore?
What are the cutest animals?,What the cutest animal in the world?
Why did Mahatma Gandhi not get Bharat Ratna or the Nobel Peace Prize?,Why Mahatma Gandhi didn't get Bharat Ratna?
What would be a cool way to commit suicide?,What are the possible ways to commit suicide?
What are some good tips while learning piano?,Can some one give me tips on learning piano?
What's the 'Theory Of Everything' you believe in?,What is your theory of everything?
Is having a dry throat related to diabetes?,How is throat dryness associated with diabetes?
"What's the body that governs sports in Denmark, and its (email) contact point?","What's the body that governs sports in Sweden, and its (email) contact point?"
What is an inexpensive tool to track email opens?,How can one track whether sent email was read?
What is happiness?,What is happiness not?
What app/website let's me use a security camera filter?,Which site(s) let you view live camera footage (ie security)?
How should I start preparing for civil services exam?,How do I start preparation for civil services exams?
How can I apply for a membership in the United Nations or other international organizations?,What is required for individual membership with the United Nations?
What if mental illnesses didn't exist?,What is mental illness?
What is the easiest way to live off the grid?,How is it living off the grid in India ?
Is there any way of knowing if a guy is gay?,How do you find out whether a hot guy is gay?
"What is diff between national park, sanctuary and biosphere reserve?",What is the Kaziranga National Park?
Is it right for a gay Christian to think that gay love is okay but gay sex is unacceptable?,"What is it like to have gay sex, if you're not actually gay or bisexual?"
What are the pre-requisites for scikit-learn?,What do you think are the biggest flaws of the scikit-learn API?
Was 2G spectrum scam bad for India?,What is the 2G spectrum scam in India about?
What is crossing-over in meiosis?,What is the process of crossing over in meiosis?
What is the most beautiful Linux distro?,Which Linux Distro is this?
"In Google Analytics, can I view traffic for a specific page?","In Google Analytics, how do I view traffic for a specific page?"
Who is/was the most underrated actor/actress in Bollywood?,Who are the most underrated actors and actresses in Bollywood?
"What is the Sahara, and how do the average temperatures there compare to the ones in the Antarctica?","What is the Sahara, and how do the average temperatures there compare to the ones in the Great Basin Desert?"
How would you know if a person was still into you?,How do you know if a person is lying?
Who named earth?,Who in the Earth named Earth?
What is the Bohr Rutherford diagram for calcium?,What is the Bohr Rutherford diagram for sodium?
How many words does an average native English speaker know?,How many idioms does an average native English speaker know?
What is the best app for photo and video editing?,What is the best app for video editing?
Why is traveling relaxing?,Is there a way to bypass sleep?
"If someone paid you $1 million to walk into a public area in Israel, do the Nazi salute and shout ""Heil Hitler,"" would you do it?","In Nazi Germany, was the greeting ""Heil Hitler"" used on an everyday basis, when entering the shop or meeting friends?"
How should I earn money online working from home?,How can I make money online for job?
How do I download free music?,Is there a platform where I can download free music?
How do I test the AdWords Ad link externally (not from the system)?,How do I recover data from external harddrive whemn it is not responding in the system?
How do I stop procrastination?,How should I avoid procrastination?
What are some things women think about men that we probably don't know?,What are some things a men should know about women?
"When will the BHI employees ""feel"" the effects of the merger?",Did Marissa Mayer fail at turning Yahoo around?
Which company offers good fire fighting equipments?,Which company offers good fire fighting tools?
What are the strongest majors in terms of job prospects and what are the weakest majors at Eastern University?,What are the strongest majors in terms of job prospects and what are the weakest majors at Bradley University?
How many stocks does Microsoft India give for each promotion/level jump?,Is Director and Principal same level in Microsoft?
What are some dating sites that really work?,Do dating apps and sites really work?
I am electronics & communication engineer. I am placed at wipro. Should I have take up any certification course?,Is it better to stick with a bachelor of dietetics or is it better to become a registered dietitian?
How is the life of Sikhs and Hindus in Pakistan and Bangladesh?,How is the life of Hindus in Pakistan and Bangladesh?
What is the best Final Fantasy game?,What are the best Final Fantasy games?
What are some home remedy for dry skin?,What are some home remedies for oily skin?
Is college really worth all the stress?,Is university really worth it?
"What are the salaries of IAS, IPS and IFS officers?",How do IAS/IPS/IFS/IES (other than railways) officers get their reservations on a train?
Who will win IPL 2016?,Who will win IPL 2013?
How do the tourist attractions on the Scandinavian Highlands compare to attractions in Switzerland?,How do the tourist attractions on the Scandinavian Highlands compare to attractions in Slovakia?
What will be the future of LGBT in india?,What is the future of the LGBT community in India?
How can I Transfer Music from iPhone to Mac without iTunes?,What is the best alternative to iTunes to transfer data between iPhone and PC without the need of iTunes?
Can India become cashless?,How can India become cashless?
How is the word 'ubiquitous' used in a sentence?,"How is the word ""ubiquitous"" used in a sentence?"
What is your New Years Resolution(s) for 2017?,What can be my new year resolution for 2017?
What was it like to work with Satya Nadella?,How is it to work with Satya Nadella?
How do I learn strumming on a guitar?,How do I learn strumming on the guitar?
"How do you define ""human being?""","How would you define the ""human being""?"
How do you start a bakery?,How can one start a bakery business?
What percentage of Jews living in Israel do not believe in Zionism? What about those living in the United States?,Why do some American Jews feel more resentment towards WWII Poles than the Arabs/Muslims who currently target Jews & Israel in their struggle?
"Why do people say ""bless you"" whenever someone sneezes?","What is the origin of saying ""bless you"" when someone sneezes?"
How can one overcome the fear of speaking in public?,How could we overcome the fear of speaking truth?
Can I wear supporter all day?,Can I impress girls if I wear tight pants?
Which is the best company for getting review products for free?,What is the best website for consumer product reviews?
Should I quit my first job after two months?,Is it ok to quit my first job after 6 months?
How can I learn programming from scratch?,How can i start learning programming and coding from scratch?
Why did you have children?,Why did you choose to have children?
What was (or is) the stupidest question asked on Quora?,"What is the stupidest question ever asked on Quora, other than this one?"
"What ingredient, if added to vaccines, could scientifically cause autism?",Do vaccines cause autism?
How is the Mass communication department at Ashoka University?,Which one would be better for me to study in a university; mass communication or pharmacy?
Can someone know if you read their Twitter message?,"If I sent direct message to someone on Twitter then block them after that, can they reply?"
U.S. Constitution: How relevant is the Third Amendment to today?,What is the First Amendment in the U.S Constitution?
Can I change my eye colour using hypnosis?,Can people really change their eye colors by hypnosis?
Can we change yellow board car to white board?,Do the universities contact you after submitting GRE scores?
How can we flirt with a girl?,How do I flirt with any girl?
Who really gets on your nerves?,Difference between master of engineering and master of science?
How do I apply for a banking license in Germany?,I have a UK driver license. Can I drive in Germany?
How hard is the AWS Developer Associate certification?,Is AWS CLI essential for AWS Sysops Admin or CSA certification?
"What is the difference between a Center Forward (CF) and Striker (ST) , Is it based only on the formation?",Why is a striker called a no.9?
What is the typical starting salary for someone with an undergraduate degree in theology?,What is the typical starting salary for someone with an undergraduate degree in sociology?
How many total active Gmail users are there in Kenya?,How is Gmail support helpful for Gmail users?
How can I join Indian army after BBA?,How can I join indian air force or indian Navy after completing engineering?
How do you check your SBI account number?,How can I check my bank account NUMBER if I only have my account number?
What are some great whisky mixers?,What are some great Whiskey mixers?
How do I get a lean body?,What are some ways to get leaner?
Is there any possibility to increase height after 21?,How girls can increase their height after 18 years?
"After starting my laptop, only the Lenovo screen shows up. What should I do?",What should I do if my Lenovo G500s gets stuck at the Lenovo start screen?
"What is the difference between BPEL, BPMN and BPM?",What is the difference between BPM and BIS?
Want to know about Payoda (s/w company)?,Whaat is xnxx?
Is there any relation between the ventricular systolic period and heart rate?,What is the difference between resting heart rate and normal heart rate?
Why do people ask questions on Quora that are easily to find answers too on Google?,Why do so many people ask questions on Quora.com when they could easily find the answers themselves online?
.,Why is Cornell's endowment the lowest in the Ivy League?
How do you trace your roots?,How can you trace your roots?
What are the skills required to crack TCS codevita 1st round?,Why don't people reply to my questions?
Can I deposit Rs. 50000 without a PAN card?,Can I deposit rs. 240000 without pan card?
"What is the meaning of ""Sugar"" by Maroon 5?",What are Maroon 5 fans called?
How do I become a vice president of a MNC?,How do I become a Vice President of sales?
What is the all-time record for most sins in a CinemaSins video?,What is the most viewed videos India?
Who are these Rothschilds? Do they really own central banks around the world?,Who controls the central banks of the world?
Is it possible to stand still in outer space?,Why can't we use kerosene as a fuel in engines though it's calorific value is nearer to diesel?
In what way do moles cause cancer?,Do moles cause cancer?
What are some of the most famous antifederalist leaders? What did they accomplish?,"Why are the Chinese, Japanese and Korean people so thin?"
Could anyone help me with the best IAS coaching centers in Hyderabad?,Which is the best IAS coaching centres in Hyderabad?
How do you know if you've fallen for someone?,How do know that you are in love?
Why does gst bill is important?,How do GST bill will benefit local people?
Will this gap year affect my personal interviews in IIMs?,Will a gap year after graduation adversely affect my interview at IIMs?
Should I buy a laptop with AMD A10-8700P or Intel i5-5200U to go with 6 GB Ram and Windows 10?,"Which laptop should I buy? Asus Vivobook X541U-WB51, 15.6 FHD, Intel i5-6198U or Asus VivoBook X540YA-DM129T 15.6 FHD AMD, A8-7410?"
How long did it take you to learn JavaScript?,How long does it take to master JavaScript?
What is Atal Pension Yojana? Who can join Atal Pension Yojana?,What is Atal Pension Yojana? What are its benefits?
How do you track someone by their cell phone number?,How do you track someone with their cell phone?
What is the best way to outline your novel?,What is the best way to outline a novel/story for a novice writer?
What are the most popular linux distros for deep learning research?,What is the most powerful Linux distro?
What is the meaning of para and gravida?,What is the meaning of para 2 and gravida 3?
Why do I have a hard lump on my earlobe?,Why do I have a strange lump in my earlobe?
How can you determine if the reaction is exothermic or endothermic?,What defines whether a chemical reaction is exothermic or endothermic?
Why do so many people believe that the IQ test determines your intelligence?,Why do so many people believe IQ tests can measure such an ill-defined thing as intelligence?
How can I be a designer?,What is the best way to be a designer?
How do I get a golden bottle cap in Pokemon Sun / Moon?,What are strange souvenirs for in Pokemon Sun and Moon games?
What could be the reason why iPhone sales dropped for the first time?,What is causing iPhone sales to drop (April 2016)?
Who is the most famous poet in the world?,Who is the most famous poets?
Is wowchat legal in India?,Is antique business legal in India?
Height: How would a 14 year old increase his height?,How should I increase my height?
How much amount to fill in amount of transaction column of form 60/61?,How much money will amount to rupees 560 in 3 years at 4% per annum.?
Is there a working Nintendo 3DS emulator for PC or Android?,Would R4 cards work on a Nintendo 3DS XL?
How much weight would I lose in a month if I eat 300 calories per day?,How much weight can I lose running 1 mile per day?
Why do I forget things that I read so easily?,Why do I forget things easily?
What do you hate about Toptal's interviewing process?,I need an Indian representative for the supply of raw materials of pharmaceutical products to our company. (roger.rene957@yahoo.com) BST RGD RENE?
Should I buy the Maruti Suzuki WagonR or the Honda Brio?,How is the performance of Honda Brio?
Should a machine learning beginner go straight for deep learning?,Why is deep learning so important in machine learning?
How can I get an .edu email (without being in school)?,How do I get a .edu email address?
"I may score 160 in WB EVETES Exam 2016, may I get a seat?","I am expecting 160-170 marks in KLE entrance (may b more than that), can I get MBBS seat in KLE through this score?"
Why did Mr Weasley ask how bus stops work to Mr and Mrs. Granger in Chamber of Secrets?,"Why didn't Tom Riddle simply use ""Avada Kedavra"" to kill Harry in The Chamber of Secrets?"
Why is it controversial to say that the Earth could be the only planet in the universe with life?,How true is it that the Earth is the only planet having life in the entire universe?
How can I use Omegle on my iPod Touch and how is it compared to using Get It On?,How can I use Omegle on my iPod Touch and how is it compared to using aFreeChat.com?
How hard is IB HL Mathematics ?,How do I prepare for IB math HL?
What is research objective?,What is subjectivity and objectivity in research?
Will a TP-Link WN722N work with Ubuntu 16.04 without needing to install the driver?,How can I use my TP-Link Tl-WN722N with Kali Linux?
"What does ""soft rock"" mean in geology?","Geology: What does ""bauxite is about as weathered as you can get"" mean?"
How did Sunny Leone come so far (from porn star to great Bollywood actress?,Will Sunny Leone ever come back in porn films?
Which university is best for computer engineering in Nepal?,"What are the best marriage gift presentation for an amount of 10,000 Rs?"
What happened to the Flight MH370?,What happened to MH370?
Does milk make you grow taller?,Can you grow taller at the age of 17?
How do you type a facepalm in text?,What is the way to type the infinity text symbol on Instagram?
What is the difference between cheap and expensive bottled water?,Is bottled water better for you than tap water? 
What is higher learning accreditation commission of Texas?,How do I find decent and valid rentals for students in Canada? Can you share the websites?
Why does Arvind Kejriwal always comment against Modi?,Why is Kejriwal against Modi?
How do I project my Android phone screen to my laptop?,How do I remove trade exchange virus from my android phone and windows laptop?
What is the best wireless internet service provider in India?,Which are the best wireless internet services in India?
Should I learn python or Java first?,"If I had to choose between learning Java and Python, what should I choose to learn first?"
What's the best reverse osmosis system?,What is the best reverse osmosis system?
Who is better Trump or Clinton?,Who will be a better president Donald Trump or Hillary Clinton?
Can you teach me this?,What can you teach me that can be useful in my life?
Who won the second debate?,Who won the 2nd presidential Debate?
Is automobile designing is a promising career in India?,What is the best way to make a career in automobile designing in India?
How do I get meth out of my system in 3 days?,Is there any pill you can buy to flush meth out of your system for a drug test?
"Shakespeare once said ""There are more things in heaven and earth, Horatio, than are dreamt of in your philosophy"". How should skeptics best address this question?","What do you think is ""Hell""?"
Why are people who are not vegan so vehement in criticizing vegans who live with vegan dogs?,How do vegans justify eating plants if their premise for their lifestyle is not harming living organisms?
"If a woman cheated on her late husband when married, will she cheat on me?",I love a married woman and have told her about my feelings for her. She wants me to be friends with her husband. What is going on in her mind?
What event or experience from your childhood inspired you as an adult?,"What would you suggest to an adult who didn't grow up with enough love from parents, as ""complement"" to love that was missing in his/her childhood?"
What is metal to ligand charge transfer (MLCT) transition and ligand to metal charge transfer (LMCT) transition?,Which transitional metals are found in the body?
Can an entangled pair have well defined angular momentums and undefined spins?,Can a new entangled pair be made from a pair of entangled particles without destroying the original entanglement?
What could be the blood group of a child if his parents are both B positive?,What is the probability that a baby have AB blood group if his parents has A and B blood group?
What is the best app to keep track of your daily expense?,Which is the best app to keep a track of expense?
"I have never got a Voter ID Card. I am a resident of UP but at present I am living in Bhopal, MP. Now could I get one if I want to vote from here?",Can I get voter id card of my native village if I am not residing there?
How do I stop my Shepherd-Husky mix puppy from humping my furniture?,How do you stop your Boxer/Pitbull mix from humping your furniture?
Why doesn't Tesla make cars with a sun-roof with solar panels?,Why Tesla is not installing solar panels on cars?
How do I get over someone I just cannot get over?,How can you completely get over someone?
What are the greatest lessons you have learnt in life?,What is the most important lesson you have learnt in your life?
How useful is it to learn programming on codecademy?,How can I use Codecademy to learn programming?
What is the cost of studying at BITS Pilani CSE 4 years BE course?,"Is the first year syllabus for B. Pharm in BITS Pilani same as B.E. courses including CSE, EEE? Is it good to think about working hard and get EEE or CSE later?"
"According to Hindu mythology, how many times has Shiva opened his 3rd eye and why?","Now we are in 'KALYUG' (according to Hindu mythology). What would have been the scenario if there was democracy in ""SATYUG""?"
How do I make my sandwich more like subway?,"Is fundamental constants are really constants? Or it varies like planks constant, electron, gravity and etc?"
"What is the meaning of ""vox organalis""?",How much voter fraud goes on in US elections?
What other public speakers are like Jason Silva?,How can I learn to be a good public speaker?
Can I deposit 500 & 1000 INR notes in my savings account multiple times on each banking day till 30/12/2016?,Can I deposit 500 & 1000 INR notes in my current account multiple times on each banking day till 30/12/2016?
What are your views on India banning 500 and 1000 notes? In what way it will affect Indian economy?,What are the economic implications of banning 500 and 1000 rupee notes?
What are the products formed when acetone reacts with concentrated nitric acid?,What products are formed when an acid and a base react?
